element,web_name,pos,start_price,total_points,avg_price,team,appearances,q_starts,ppg_start,ppg_sd
388,C.Jones,MID,5.5,81,5.405263157894737,Liverpool,34,18,3.5,2.307277489112375
390,Gravenberch,MID,5.5,144,5.560526315789474,Liverpool,36,33,4.303030303030303,3.3305859890270106
392,Endo,MID,5.0,12,4.910526315789474,Liverpool,8,1,3.0,
393,Bajcetic,MID,4.5,0,4.305263157894737,Liverpool,0,0,,
394,McConnell,MID,4.5,0,4.407894736842105,Liverpool,0,0,,
395,Morton,MID,4.5,0,4.5,Liverpool,0,0,,
396,Nyoni,MID,4.5,6,4.323684210526316,Liverpool,6,0,,
397,Darwin,FWD,6.5,0,6.5,Liverpool,0,0,,
398,Danns,FWD,4.5,0,4.336842105263158,Liverpool,0,0,,
499,Isak,FWD,10.5,41,10.363157894736842,Liverpool,14,8,3.75,2.5495097567963922
661,Ekitiké,FWD,8.5,125,8.844736842105263,Liverpool,28,19,6.105263157894737,4.920419323166418
686,Ngumoha,MID,4.5,43,4.371052631578947,Liverpool,19,5,4.8,3.8340579025361627
692,Leoni,DEF,5.0,0,4.916216216216216,Liverpool,0,0,,
746,Morrison,MID,4.5,0,4.5,Liverpool,0,0,,
760,Lucky,DEF,4.0,0,4.0,Liverpool,0,0,,
830,Wright,FWD,4.5,0,4.5,Liverpool,0,0,,
832,Ndiaye,DEF,4.0,0,4.0,Liverpool,0,0,,
82,Semenyo,MID,7.0,202,7.842105263157895,Bournemouth,37,35,5.571428571428571,4.340545603314608
182,Trafford,GK,5.0,13,4.621052631578947,Man City,4,4,3.25,2.5
260,Guéhi,DEF,4.5,179,5.052631578947368,Crystal Palace,35,35,5.114285714285714,3.909050046866574
399,Ederson M.,GK,5.5,0,5.310526315789474,Man City,0,0,,
401,Bettinelli,GK,4.0,0,3.8921052631578945,Man City,0,0,,
402,Aït-Nouri,DEF,6.0,60,5.755263157894737,Man City,17,10,5.3,3.802046232695699
403,Gvardiol,DEF,6.0,79,5.88421052631579,Man City,18,14,5.357142857142857,3.7948779823729377
404,Akanji,DEF,5.5,0,5.405263157894737,Man City,0,0,,
405,Aké,DEF,5.5,36,5.307894736842106,Man City,18,7,3.5714285714285716,2.9920529661723827
406,Khusanov,DEF,5.5,67,5.405263157894737,Man City,21,14,4.285714285714286,3.0237157840738176
407,Matheus N.,DEF,5.5,154,5.360526315789474,Man City,34,30,4.9,3.7264201180961503
408,Rúben,DEF,5.5,113,5.539473684210526,Man City,26,23,4.826086956521739,3.393204089366695
409,Stones,DEF,5.5,16,5.428947368421053,Man City,9,5,2.6,2.073644135332772
410,Lewis,DEF,5.0,19,4.739473684210526,Man City,11,4,3.0,5.354126134736337
411,O'Reilly,DEF,5.0,160,5.08421052631579,Man City,34,28,5.607142857142857,4.331959489177273
412,Vitor Reis,DEF,5.0,0,5.0,Man City,0,0,,
413,Marmoush,MID,8.5,56,8.313157894736843,Man City,21,5,6.2,3.5637059362410923
414,Foden,MID,8.0,131,8.234210526315788,Man City,33,22,5.454545454545454,5.040098947699084
415,Savinho,MID,7.0,43,6.902631578947369,Man City,24,6,3.8333333333333335,3.0605010483034745
416,Bernardo,MID,6.5,102,6.257894736842106,Man City,38,31,3.096774193548387,1.9382954489220234
417,Cherki,MID,6.5,135,6.481578947368421,Man City,33,16,6.75,3.3366650016645862
418,Doku,MID,6.5,120,6.463157894736843,Man City,30,18,6.0,4.186814035123352
420,Gündoğan,MID,6.5,0,6.307894736842106,Man City,0,0,,
421,Rodrigo,MID,6.5,69,6.323684210526316,Man City,21,16,4.0,1.8973665961010275
422,Kovačić,MID,6.0,9,5.873684210526315,Man City,6,0,,
423,N.Gonzalez,MID,6.0,63,5.913157894736842,Man City,25,17,3.411764705882353,1.6605279103876787
425,Echeverri,MID,5.5,0,5.402631578947369,Man City,0,0,,
427,Reijnders,MID,5.5,92,5.281578947368422,Man City,28,17,4.764705882352941,3.1529631254723287
428,Nypan,MID,5.0,0,5.0,Man City,0,0,,
429,Phillips,MID,5.0,0,4.786842105263158,Man City,0,0,,
430,Haaland,FWD,14.0,239,14.705263157894738,Man City,35,33,7.0606060606060606,4.847289151805586
736,Donnarumma,GK,5.5,135,5.64,Man City,34,34,3.9705882352941178,2.552304889615339
739,Mukasa,MID,4.5,2,4.434285714285714,Man City,2,0,,
740,Mfuni,DEF,4.0,0,3.94,Man City,0,0,,
742,McAidoo,MID,4.5,0,4.5,Man City,0,0,,
763,Gray,MID,4.5,0,4.5,Man City,0,0,,
764,Heskey,MID,4.5,0,4.5,Man City,0,0,,
794,Alleyne,DEF,4.5,5,4.088888888888889,Man City,2,1,4.0,
119,Mbeumo,MID,8.0,148,8.323684210526316,Man Utd,33,31,4.709677419354839,3.61656880101473
431,Bayindir,GK,5.0,11,4.8,Man Utd,6,6,1.8333333333333333,0.408248290463863
432,Onana,GK,5.0,0,4.907894736842105,Man Utd,0,0,,
433,Harrison,GK,4.0,0,4.0,Man Utd,0,0,,
434,Heaton,GK,4.0,0,3.9026315789473687,Man Utd,0,0,,
435,Mee,GK,4.0,0,3.9236842105263157,Man Utd,0,0,,
436,De Ligt,DEF,5.0,43,4.947368421052632,Man Utd,13,13,3.3076923076923075,2.839736354681991
437,Martinez,DEF,5.0,51,4.826315789473684,Man Utd,18,12,4.083333333333333,3.3154825052206567
438,Mazraoui,DEF,5.0,53,4.905263157894737,Man Utd,20,10,4.5,3.4075080500434787
439,D.Leon,DEF,4.5,0,4.228947368421053,Man Utd,0,0,,
440,Dalot,DEF,4.5,111,4.481578947368421,Man Utd,34,28,3.7857142857142856,4.012546460856136
441,Dorgu,DEF,4.5,95,4.260526315789474,Man Utd,26,14,6.071428571428571,6.182659195303808
442,Maguire,DEF,4.5,90,4.373684210526315,Man Utd,23,19,4.526315789473684,3.564772410572839
443,Shaw,DEF,4.5,113,4.5,Man Utd,38,37,3.027027027027027,2.576458448750559
444,Yoro,DEF,4.5,56,4.273684210526316,Man Utd,32,17,2.4705882352941178,1.9078013215093812
445,Amass,DEF,4.0,0,4.0,Man Utd,0,0,,
446,Fredricson,DEF,4.0,1,3.81578947368421,Man Utd,1,0,,
447,Heaven,DEF,4.0,42,3.81578947368421,Man Utd,17,10,3.5,3.4075080500434787
448,Malacia,DEF,4.0,3,3.8210526315789473,Man Utd,3,0,,
449,B.Fernandes,MID,9.0,235,9.455263157894738,Man Utd,35,34,6.882352941176471,4.429684343924436
450,Cunha,MID,8.0,143,8.010526315789473,Man Utd,33,28,4.535714285714286,2.834733547569204
451,Rashford,MID,7.0,0,7.0,Man Utd,0,0,,
452,Amad,MID,6.5,91,6.271052631578947,Man Utd,32,23,3.4782608695652173,2.273754708474135
454,Antony,MID,6.0,0,5.905263157894737,Man Utd,0,0,,
455,Mount,MID,6.0,58,5.910526315789474,Man Utd,23,10,4.6,2.836272984824353
457,Casemiro,MID,5.5,165,5.571052631578947,Man Utd,34,29,5.551724137931035,3.6799282494611583
458,Mainoo,MID,5.0,73,4.7,Man Utd,28,16,3.8125,1.8697147732564274
459,Ugarte,MID,5.0,38,4.755263157894737,Man Utd,22,8,3.0,1.4142135623730951
460,Collyer,MID,4.5,0,4.5,Man Utd,0,0,,
461,Fitzgerald,MID,4.5,0,4.36578947368421,Man Utd,0,0,,
462,J.Fletcher,MID,4.5,3,4.336842105263158,Man Utd,3,0,,
463,Kone,MID,4.5,0,4.344736842105263,Man Utd,0,0,,
464,Moorhouse,MID,4.5,0,4.5,Man Utd,0,0,,
465,Højlund,FWD,6.5,0,6.310526315789474,Man Utd,0,0,,
466,Zirkzee,FWD,6.0,42,5.823684210526316,Man Utd,24,4,3.5,3.696845502136472
467,Obi,FWD,4.5,0,4.260526315789474,Man Utd,0,0,,
468,Wheatley,FWD,4.5,0,4.5,Man Utd,0,0,,
681,Šeško,FWD,7.5,111,7.278947368421052,Man Utd,30,14,4.714285714285714,3.709210395521095
733,Lammens,GK,5.0,109,5.025714285714286,Man Utd,32,32,3.40625,2.860852286723593
755,Lacey,MID,4.5,3,4.5,Man Utd,3,0,,
769,Bendito Mantato,MID,4.5,1,4.5,Man Utd,1,0,,
771,Fletcher,MID,4.5,2,4.428571428571429,Man Utd,2,0,,
788,Kukonki,DEF,4.0,0,4.0,Man Utd,0,0,,
827,Thwaites,MID,4.5,0,4.5,Man Utd,0,0,,
52,J.Ramsey,MID,5.5,62,5.321052631578947,Newcastle,28,13,3.3076923076923075,2.4961508830135313
135,Wissa,FWD,7.5,27,7.339473684210526,Newcastle,19,4,3.0,2.0
469,Pope,GK,5.0,96,5.081578947368421,Newcastle,27,27,3.5555555555555554,2.1363760352762253
471,Gillespie,GK,4.0,0,3.9289473684210527,Newcastle,0,0,,
472,Odysseas,GK,4.0,0,4.0,Newcastle,0,0,,
473,Hall,DEF,5.5,79,5.307894736842106,Newcastle,30,23,3.1739130434782608,2.386556551584949
474,Schär,DEF,5.5,51,5.307894736842106,Newcastle,16,11,4.181818181818182,2.926369143432927
475,Botman,DEF,5.0,89,4.905263157894737,Newcastle,25,20,4.05,2.6452539426400317
476,Burn,DEF,5.0,93,5.042105263157895,Newcastle,29,24,3.6666666666666665,3.212295219887199
477,Livramento,DEF,5.0,59,4.936842105263159,Newcastle,17,14,4.0,2.4806946917841692
478,Trippier,DEF,5.0,54,4.936842105263159,Newcastle,21,18,2.888888888888889,2.6096853289888933
479,Krafth,DEF,4.5,0,4.336842105263158,Newcastle,1,0,,
480,Lascelles,DEF,4.5,1,4.331578947368421,Newcastle,2,0,,
481,A.Murphy,DEF,4.0,2,3.8473684210526313,Newcastle,2,0,,
482,Ashby,DEF,4.0,0,3.910526315789474,Newcastle,0,0,,
483,Pivas,DEF,4.0,0,3.8421052631578947,Newcastle,0,0,,
484,Targett,DEF,4.0,0,4.0,Newcastle,0,0,,
485,Gordon,MID,7.5,101,7.342105263157895,Newcastle,26,21,4.476190476190476,3.234486784932775
486,Elanga,MID,7.0,48,6.628947368421052,Newcastle,32,11,2.4545454545454546,0.9341987329938275
487,Barnes,MID,6.5,106,6.239473684210526,Newcastle,37,18,4.277777777777778,4.2537949223993
488,Bruno G.,MID,6.5,154,6.794736842105263,Newcastle,29,27,5.407407407407407,3.835655186829326
489,J.Murphy,MID,6.5,82,6.0473684210526315,Newcastle,33,17,3.7058823529411766,2.257340965670476
490,Joelinton,MID,6.0,73,5.907894736842105,Newcastle,27,20,3.4,1.9303667499917432
491,Tonali,MID,5.5,81,5.344736842105263,Newcastle,35,27,2.740740740740741,1.2585887271247838
492,Antoñito C.,MID,5.0,0,4.907894736842105,Newcastle,0,0,,
494,Willock,MID,5.0,38,5.0,Newcastle,24,8,2.75,1.3887301496588271
495,Hayden,MID,4.5,0,4.5,Newcastle,0,0,,
496,Kuol,MID,4.5,0,4.410526315789474,Newcastle,0,0,,
497,L.Miley,MID,4.5,72,4.436842105263159,Newcastle,23,15,4.066666666666666,3.4114652626247333
498,White,MID,4.5,0,4.5,Newcastle,0,0,,
500,Osula,FWD,5.5,76,5.434210526315789,Newcastle,24,8,5.875,4.38951673226759
501,Neave,FWD,4.5,1,4.355263157894737,Newcastle,1,0,,
674,Ramsdale,GK,5.0,25,4.826315789473684,Newcastle,12,11,2.272727272727273,1.7372915179041823
684,Thiaw,DEF,5.0,126,4.992105263157894,Newcastle,35,32,3.9375,4.287547610946032
689,Seung soo,MID,4.5,0,4.36578947368421,Newcastle,0,0,,
714,Woltemade,FWD,7.0,108,7.088571428571429,Newcastle,33,21,4.571428571428571,3.23375058672478
753,Ruddy,GK,4.0,0,4.0,Newcastle,0,0,,
765,Shahar,DEF,4.0,0,4.0,Newcastle,0,0,,
772,Alabi,MID,4.5,0,4.5,Newcastle,0,0,,
12,Zinchenko,DEF,5.0,7,4.905263157894737,Nott'm Forest,5,4,1.5,0.5773502691896257
400,Ortega Moreno,GK,5.0,11,4.760526315789474,Man City,3,3,3.6666666666666665,3.0550504633038935
426,McAtee,MID,5.5,17,5.113157894736842,Nott'm Forest,14,1,2.0,
502,Sels,GK,5.0,105,4.710526315789474,Nott'm Forest,31,29,3.5517241379310347,2.39919937384703
503,C.Miguel,GK,4.0,0,4.0,Nott'm Forest,0,0,,
504,Turner,GK,4.0,0,4.0,Nott'm Forest,0,0,,
505,Milenković,DEF,5.5,119,5.194736842105263,Nott'm Forest,38,37,3.189189189189189,2.6335214894576877
506,Murillo,DEF,5.5,83,5.273684210526316,Nott'm Forest,25,23,3.4347826086956523,3.917630162095003
507,Aina,DEF,5.0,67,4.75,Nott'm Forest,18,18,3.7222222222222223,3.443759155949064
508,N.Williams,DEF,5.0,128,4.771052631578947,Nott'm Forest,37,34,3.7941176470588234,3.9755267367010125
509,David Carmo,DEF,4.5,0,4.5,Nott'm Forest,0,0,,
510,Jair Cunha,DEF,4.5,13,4.281578947368422,Nott'm Forest,9,4,2.0,0.816496580927726
511,Morato,DEF,4.5,53,4.336842105263158,Nott'm Forest,21,14,3.2857142857142856,2.7853620515548347
512,O.Richards,DEF,4.5,0,4.5,Nott'm Forest,0,0,,
513,Abbott,DEF,4.0,3,3.8526315789473684,Nott'm Forest,3,1,1.0,
514,Boly,DEF,4.0,0,3.85,Nott'm Forest,0,0,,
515,Gibbs-White,MID,7.5,188,7.378947368421052,Nott'm Forest,37,35,5.228571428571429,4.080698572589764
516,Hudson-Odoi,MID,6.0,88,5.771052631578947,Nott'm Forest,30,17,4.235294117647059,4.4233670965214085
517,Anderson,MID,5.5,180,5.423684210526316,Nott'm Forest,38,37,4.837837837837838,2.9862045170110867
518,Jota,MID,5.5,1,5.405263157894737,Nott'm Forest,1,0,,
519,Dominguez,MID,5.0,48,5.0,Nott'm Forest,27,8,3.625,2.669269563007828
520,O'Brien,MID,5.0,0,5.0,Nott'm Forest,0,0,,
521,Sangaré,MID,5.0,89,4.918421052631579,Nott'm Forest,28,22,3.590909090909091,3.4178674903831747
522,Yates,MID,5.0,30,4.742105263157894,Nott'm Forest,22,3,3.3333333333333335,2.0816659994661326
523,Da Silva Moreira,MID,4.5,0,4.5,Nott'm Forest,0,0,,
524,Stamenic,MID,4.5,0,4.5,Nott'm Forest,0,0,,
525,Wood,FWD,7.5,41,7.247368421052632,Nott'm Forest,15,10,3.6,3.6575644598253874
526,Igor Jesus,FWD,6.0,114,5.826315789473684,Nott'm Forest,37,24,3.7916666666666665,3.2165221113422526
527,Awoniyi,FWD,5.5,43,5.23421052631579,Nott'm Forest,17,2,9.0,9.899494936611665
669,Ndoye,MID,6.0,50,5.639473684210526,Nott'm Forest,24,10,3.6,2.590581230363393
675,Gunn,GK,4.0,1,4.0,Nott'm Forest,1,0,,
693,Hutchinson,MID,5.5,82,5.418918918918918,Nott'm Forest,31,15,3.533333333333333,2.099886618254378
696,Kalimuendo,FWD,6.0,9,6.0,Nott'm Forest,9,0,,
715,John,GK,4.0,11,4.0,Nott'm Forest,5,5,2.2,2.16794833886788
716,Savona,DEF,4.5,39,4.5,Nott'm Forest,14,10,3.8,3.675746333890726
729,Cuiabano,DEF,4.5,0,4.5,Nott'm Forest,0,0,,
734,Bakwa,MID,6.0,26,5.925714285714286,Nott'm Forest,14,4,4.0,2.160246899469287
805,Lucca,FWD,5.5,9,5.446666666666667,Nott'm Forest,4,1,2.0,
814,Netz,DEF,4.5,11,4.5,Nott'm Forest,7,3,2.3333333333333335,1.5275252316519468
835,Whitehall,MID,4.5,0,4.5,Nott'm Forest,0,0,,
836,Sinclair,MID,4.5,0,4.5,Nott'm Forest,0,0,,
841,Sillah,FWD,4.5,0,4.5,Nott'm Forest,0,0,,
528,Patterson,GK,4.5,0,4.268421052631579,Sunderland,0,0,,
529,Moore,GK,4.0,0,3.9263157894736844,Sunderland,0,0,,
530,Nna Noukeu,GK,4.0,0,3.9263157894736844,Sunderland,0,0,,
531,Ballard,DEF,4.5,116,4.623684210526315,Sunderland,29,22,5.045454545454546,4.19157059695576
532,Hume,DEF,4.5,110,4.5,Sunderland,38,32,3.15625,3.101605983586463
533,Alese,DEF,4.0,0,4.0,Sunderland,0,0,,
534,Anderson,DEF,4.0,0,3.8631578947368417,Sunderland,0,0,,
535,Cirkin,DEF,4.0,14,4.0,Sunderland,8,2,5.0,4.242640687119285
536,Hjelde,DEF,4.0,0,4.0,Sunderland,0,0,,
537,Huggins,DEF,4.0,0,4.0,Sunderland,0,0,,
538,Johnson,DEF,4.0,0,3.8631578947368417,Sunderland,0,0,,
539,O'Nien,DEF,4.0,26,4.0,Sunderland,12,6,3.8333333333333335,2.401388487243717
540,Pembele,DEF,4.0,0,3.910526315789474,Sunderland,0,0,,
541,Reinildo,DEF,4.0,74,3.889473684210526,Sunderland,25,21,3.619047619047619,3.169797950598594
542,Seelt,DEF,4.0,2,4.0,Sunderland,2,1,1.0,
543,Adingra,MID,5.5,34,5.036842105263158,Sunderland,14,7,3.857142857142857,3.132015933791495
544,Diarra,MID,5.5,65,5.339473684210526,Sunderland,20,15,3.933333333333333,3.32665998663324
545,Roberts,MID,5.5,1,5.402631578947369,Sunderland,1,0,,
546,Aleksić,MID,5.0,0,4.905263157894737,Sunderland,0,0,,
547,E.Le Fée,MID,5.0,147,4.9,Sunderland,36,33,4.363636363636363,3.417036195833513
548,Mundle,MID,5.0,14,4.905263157894737,Sunderland,14,1,2.0,
549,Neil,MID,5.0,3,4.823684210526316,Sunderland,3,0,,
550,Poveda,MID,5.0,0,4.802631578947368,Sunderland,0,0,,
551,Rigg,MID,5.0,36,4.757894736842106,Sunderland,18,7,3.142857142857143,1.7728105208558367
552,Sadiki,MID,5.0,80,4.9526315789473685,Sunderland,33,33,2.4242424242424243,1.0316946929174051
553,Talbi,MID,5.0,83,4.944736842105263,Sunderland,28,16,3.8125,2.638654960391752
554,Ba,MID,4.5,0,4.331578947368421,Sunderland,0,0,,
555,Browne,MID,4.5,0,4.5,Sunderland,0,0,,
556,Ekwah,MID,4.5,0,4.5,Sunderland,0,0,,
557,H.Jones,MID,4.5,0,4.35,Sunderland,0,0,,
558,Matete,MID,4.5,0,4.347368421052631,Sunderland,0,0,,
559,Triantis,MID,4.5,0,4.407894736842105,Sunderland,0,0,,
560,Isidor,FWD,5.5,74,5.321052631578947,Sunderland,32,9,3.3333333333333335,2.692582403567252
561,Mayenda,FWD,5.5,40,5.289473684210526,Sunderland,20,7,3.857142857142857,3.1847852585154217
562,Abdullahi,FWD,4.5,0,4.286842105263158,Sunderland,0,0,,
563,Luís Hemir,FWD,4.5,0,4.407894736842105,Sunderland,0,0,,
564,Rusyn,FWD,4.5,0,4.407894736842105,Sunderland,0,0,,
668,Xhaka,MID,5.0,124,5.113157894736842,Sunderland,34,32,3.8125,2.263846284534354
670,Roefs,GK,4.5,136,4.752631578947368,Sunderland,35,35,3.8857142857142857,3.1321053675784034
678,Masuaku,DEF,4.0,1,3.9184210526315786,Sunderland,3,0,,
683,Alderete,DEF,4.0,125,4.073684210526316,Sunderland,33,31,3.870967741935484,3.7304328210353908
694,Mukiele,DEF,4.0,151,4.321621621621622,Sunderland,32,31,4.838709677419355,4.290274072003236
724,Geertruida,DEF,4.5,55,4.5,Sunderland,28,17,2.588235294117647,1.8048138245194352
730,Brobbey,FWD,5.5,92,5.454285714285715,Sunderland,31,21,3.3333333333333335,2.8343135559308417
735,Traoré,MID,5.5,30,5.5,Sunderland,12,7,3.7142857142857144,2.1380899352993947
774,Jenson Jones,DEF,4.0,0,4.0,Sunderland,0,0,,
775,Tutierov,MID,4.5,0,4.5,Sunderland,0,0,,
800,Jocelin.T,MID,5.0,1,4.9625,Sunderland,1,0,,
812,Ellborg,GK,4.0,16,4.0,Sunderland,3,3,5.333333333333333,4.041451884327381
813,Angulo,MID,5.0,13,5.0,Sunderland,8,5,2.0,0.7071067811865476
821,Whittaker,MID,4.5,0,4.5,Sunderland,0,0,,
822,Jones,MID,4.5,0,4.5,Sunderland,0,0,,
565,Vicario,GK,5.0,90,4.873684210526315,Spurs,31,31,2.903225806451613,2.573646423652343
566,Austin,GK,4.0,0,3.9184210526315786,Spurs,0,0,,
567,Kinsky,GK,4.0,20,3.913157894736842,Spurs,7,7,2.857142857142857,1.9518001458970664
568,Pedro Porro,DEF,5.5,117,5.315789473684211,Spurs,34,31,3.7096774193548385,3.417538572199752
569,Romero,DEF,5.0,91,5.013157894736842,Spurs,23,20,4.65,4.693500545266938
570,Danso,DEF,4.5,63,4.260526315789474,Spurs,24,15,3.8,2.4842360136324753
571,Davies,DEF,4.5,10,4.323684210526316,Spurs,3,1,9.0,
572,Dragusin,DEF,4.5,17,4.5,Spurs,10,5,2.6,1.1401754250991378
573,Spence,DEF,4.5,78,4.323684210526316,Spurs,30,22,3.227272727272727,2.7243490822722998
